Generation,Best Fitness
1,-6911.377986774203
2,-6845.165291505871
3,-6451.656977325517
4,-5630.632147748831
5,-4617.867005690226
6,-4617.867005690226
7,-4617.867005690226
8,-4617.867005690226
9,-4617.867005690226
10,-4617.867005690226
11,-4617.867005690226
12,-4617.867005690226
13,-4617.867005690226
14,-4617.867005690226
15,-4617.867005690226
16,-4617.867005690226
17,-4617.867005690226
18,-4617.867005690226
19,-4617.867005690226
20,-4617.867005690226
21,-4617.867005690226
22,-4617.867005690226
23,-4617.867005690226
24,-4617.867005690226
25,-4084.3525688771942
26,-4084.3525688771942
27,-4084.3525688771942
28,-4084.3525688771942
29,-4084.3525688771942
30,-4084.3525688771942
31,-4084.3525688771942
32,-4084.3525688771942
33,-4084.3525688771942
34,-4084.3525688771942
35,-4084.3525688771942
36,-4084.3525688771942
37,-4084.3525688771942
38,-4084.3525688771942
39,-4084.3525688771942
40,-4084.3525688771942
41,-4084.3525688771942
42,-4084.3525688771942
43,-4084.3525688771942
44,-4084.3525688771942
45,-4084.3525688771942
46,-4084.3525688771942
47,-4084.3525688771942
48,-4084.3525688771942
49,-4084.3525688771942
50,-4084.3525688771942
51,-4084.3525688771942
52,-4084.3525688771942
53,-4084.3525688771942
54,-4084.3525688771942
55,-4084.3525688771942
56,-4084.3525688771942
57,-4084.3525688771942
58,-4084.3525688771942
59,-4084.3525688771942
60,-4084.3525688771942
61,-4078.6825748809015
62,-4078.6825748809015
63,-4078.6825748809015
64,-4078.6825748809015
65,-4078.6825748809015
66,-4078.6825748809015
67,-4078.6825748809015
68,-4078.6825748809015
69,-4076.625269171391
70,-4076.625269171391
71,-4076.625269171391
72,-4076.625269171391
73,-4076.625269171391
74,-3032.4914098242184
75,-3032.4914098242184
76,-3032.4914098242184
77,-3032.4914098242184
78,-3032.4914098242184
79,-3032.4914098242184
80,-3032.4914098242184
81,-3032.4914098242184
82,-3032.4914098242184
83,-3032.4914098242184
84,-3032.4914098242184
85,-3032.4914098242184
86,-3032.4914098242184
87,-3032.4914098242184
88,-3032.4914098242184
89,-3032.4914098242184
90,-3032.4914098242184
91,-3032.4914098242184
92,-3032.4914098242184
93,-3032.4914098242184
94,-3032.4914098242184
95,-3032.4914098242184
96,-3032.4914098242184
97,-3032.4914098242184
98,-3032.4914098242184
99,-3032.4914098242184
100,-3032.4914098242184
